site,family,genus,latin_name,species_code,life_form,warning
ucsc,Aquifoliaceae,Ilex,Ilex aquifolium,ILEXAQ,Shrub,NA
ucsc,Fagaceae,Lithocarpus,Lithocarpus densiflorus,LITHDE,Tree,NA
ucsc,Myricaceae,Morella,Morella californica,MORECA,Shrub,Accepted name Myrica californica.
ucsc,Pinaceae,Pinus,Pinus attenuata,PINUAT,Tree,NA
ucsc,Pinaceae,Pinus,Pinus ponderosa,PINUPO,Tree,NA
ucsc,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,PSEUME,Tree,NA
ucsc,Rosaceae,Pyracantha,Pyracantha angustifolia,PYRAAN,Shrub,NA
ucsc,Fagaceae,Quercus,Quercus agrifolia,QUERAG,Tree,NA
ucsc,Fagaceae,Quercus,Quercus parvula,QUERPA,Tree,Accepted name Quercus wislizeni.
ucsc,Rhamnaceae,Rhamnus,Rhamnus californica,RHAMCA,Shrub,Accepted name Frangula californica.
ucsc,Grossulariaceae,Ribes,Ribes divaricatum,RIBEDI,Shrub,NA
ucsc,Salicaceae,Salix,Salix lasiandra,SALILA,Shrub,NA
ucsc,Adoxaceae,Sambucus,Sambucus nigra,SAMBNI,Shrub,NA
ucsc,Cupressaceae,Sequoia,Sequoia sempervirens,SEQUSE,Tree,NA
ucsc,Lauraceae,Umbellularia,Umbellularia californica,UMBECA,Tree,NA
ucsc,Ericaceae,Vaccinium,Vaccinium ovatum,VACCOV,Shrub,NA
wabikon,Pinaceae,Abies,Abies balsamea,ABIBAL,Tree,NA
wabikon,Sapindaceae,Acer,Acer rubrum,ACERUB,Tree,NA
wabikon,Sapindaceae,Acer,Acer saccharum,ACESUG,Tree,NA
wabikon,Sapindaceae,Acer,Acer spicatum,ACESPI,Shrub,NA
wabikon,Betulaceae,Alnus,Alnus incana,ALNINC,Shrub,NA
wabikon,Rosaceae,Amelanchier,Amelanchier laevis,AMELAE,Shrub,NA
wabikon,Rosaceae,Amelanchier,Amelanchier sanguinea,AMESAN,Shrub,NA
wabikon,Betulaceae,Betula,Betula alleghaniensis,BETALL,Tree,NA
wabikon,Betulaceae,Betula,Betula papyrifera,BETPAP,Tree,NA
wabikon,Cornaceae,Cornus,Cornus alternifolia,CORALT,Tree,NA
wabikon,Betulaceae,Corylus,Corylus cornuta,CORCOR,Shrub,NA
wabikon,Thymelaeaceae,Dirca,Dirca palustris,DIRPAL,Shrub,NA
wabikon,Oleaceae,Fraxinus,Fraxinus americana,FRAAME,Tree,NA
wabikon,Oleaceae,Fraxinus,Fraxinus nigra,FRANIG,Tree,NA
wabikon,Aquifoliaceae,Ilex,Ilex mucronata,ILEMUC,Shrub,NA
wabikon,Aquifoliaceae,Ilex,Ilex verticillata,ILEVER,Shrub,NA
wabikon,Juglandaceae,Juglans,Juglans cinerea,JUGCIN,Tree,NA
wabikon,Pinaceae,Larix,Larix laricina,LARLAR,Tree,NA
wabikon,Caprifoliaceae,Lonicera,Lonicera canadensis,LONCAN,Shrub,NA
wabikon,Rosaceae,Malus,Malus pumila,MALPUM,Tree,NA
wabikon,Betulaceae,Ostrya,Ostrya virginiana,OSTVIR,Tree,NA
wabikon,Betulaceae,Ostrya,Ostrya virginiana,NA,Tree,NA
wabikon,Pinaceae,Picea,Picea glauca,PICGLA,Tree,NA
wabikon,Pinaceae,Picea,Picea mariana,PICMAR,Tree,NA
wabikon,Pinaceae,Pinus,Pinus strobus,PINSTR,Tree,NA
wabikon,Salicaceae,Populus,Populus balsamifera,POPBAL,Tree,NA
wabikon,Salicaceae,Populus,Populus grandidentata,POPGRA,Tree,NA
wabikon,Salicaceae,Populus,Populus tremuloides,POPTRE,Tree,NA
wabikon,Rosaceae,Prunus,Prunus pensylvanica,PRUPEN,Tree,NA
wabikon,Rosaceae,Prunus,Prunus serotina,PRUSER,Tree,NA
wabikon,Rosaceae,Prunus,Prunus virginiana,PRUVIR,Tree,NA
wabikon,Fagaceae,Quercus,Quercus rubra,QUERUB,Tree,NA
wabikon,Grossulariaceae,Ribes,Ribes cynosbati,RIBCYN,Shrub,NA
wabikon,Adoxaceae,Sambucus,Sambucus racemosa,SAMRAC,Shrub,NA
wabikon,Rosaceae,Sorbus,Sorbus americana,SORAME,Tree,NA
wabikon,Cupressaceae,Thuja,Thuja occidentalis,THUOCC,Tree,NA
wabikon,Malvaceae,Tilia,Tilia americana,TILAME,Tree,NA
wabikon,Pinaceae,Tsuga,Tsuga canadensis,TSUCAN,Tree,NA
wabikon,Ulmaceae,Ulmus,Ulmus americana,ULMAME,Tree,NA
wind river,Pinaceae,Abies,Abies amabilis,ABAM,Tree,NA
wind river,Pinaceae,Abies,Abies grandis,ABGR,Tree,NA
wind river,Pinaceae,Abies,Abies procera,ABPR,Tree,NA
wind river,Pinaceae,Abies,Abies sp.,ABSP,Tree,NA
wind river,Pinaceae,Abies,Abies spp.,ABSP,Tree,NA
wind river,Sapindaceae,Acer,Acer circinatum,ACCI,Shrub,NA
wind river,Sapindaceae,Acer,Acer glabrum,ACGL,Tree,NA
wind river,Betulaceae,Alnus,Alnus rubra,ALRU,Tree,NA
wind river,Rosaceae,Amelanchier,Amelanchier alnifolia,AMAL,Tree,NA
wind river,Cornaceae,Cornus,Cornus nuttallii,CONU,Tree,NA
wind river,Betulaceae,Corylus,Corylus cornuta,COCOC,Shrub,NA
wind river,Ericaceae,Gaultheria,Gaultheria shallon,GASH,Shrub,NA
wind river,Rosaceae,Holodiscus,Holodiscus discolor,HODI,Shrub,NA
wind river,Caprifoliaceae,Lonicera,Lonicera ciliosa,LOCI,Shrub,NA
wind river,Ericaceae,Menziesia,Menziesia ferruginea,MEFE,Shrub,NA
wind river,Rosaceae,Oemleria,Oemleria cerasiformis,OECE,Shrub,NA
wind river,Pinaceae,Pinus,Pinus monticola,PIMO,Tree,NA
wind river,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,PSME,Tree,NA
wind river,Rhamnaceae,Rhamnus,Rhamnus purshiana,RHPU,Shrub,NA
wind river,Ericaceae,Rhododendron,Rhododendron macrophyllum,RHMA,Shrub,NA
wind river,Rosaceae,Rosa,Rosa gymnocarpa,ROGY,Shrub,NA
wind river,Rosaceae,Rubus,Rubus leucodermis,RULE,Shrub,NA
wind river,Rosaceae,Rubus,Rubus spectabilis,RUSP,Shrub,NA
wind river,Taxaceae,Taxus,Taxus brevifolia,TABR,Tree,NA
wind river,Cupressaceae,Thuja,Thuja plicata,THPL,Tree,NA
wind river,Pinaceae,Tsuga,Tsuga heterophylla,TSHE,Tree,NA
wind river,Ericaceae,Vaccinium,Vaccinium membranaceum,VAME,Shrub,NA
wind river,Ericaceae,Vaccinium,Vaccinium ovalifolium,VAOV,Shrub,NA
wind river,Ericaceae,Vaccinium,Vaccinium parvifolium,VAPA,Shrub,NA
wytham woods,Sapindaceae,Acer,Acer campestre,ACERCA,Tree,NA
wytham woods,Sapindaceae,Acer,Acer pseudoplatanus,ACERPS,Tree,NA
wytham woods,Betulaceae,Betula,Betula sp.,BETUSP,Tree,NA
wytham woods,Betulaceae,Carpinus,Carpinus betulus,CARPBE,Tree,NA
